Capacité Max,Objets Sélectionnés,Utilité Totale,Masse Totale,Temps de Calcul (s)
2,"['Rustines', 'Maillon rapide', 'Lampes', 'Téléphone mobile', 'Crème solaire', 'Compresses', 'Couteau suisse', 'Multi-tool', 'Démonte-pneus', 'Pompe']",15.050000000000002,2.0000000000000004,0.007998943328857422
3,"['Rustines', 'Maillon rapide', 'Lampes', 'Téléphone mobile', 'Carte IGN', 'Crème solaire', 'Veste de pluie', 'Désinfectant', 'Compresses', 'Couteau suisse', 'Multi-tool', 'Clé de 15', 'Démonte-pneus', 'Pompe']",17.85,3.0000000000000004,0.0
4,"['Rustines', 'Fruits', 'Barre de céréales', 'Maillon rapide', 'Lampes', 'Téléphone mobile', 'Carte IGN', 'Crème solaire', 'Veste de pluie', 'Désinfectant', 'Compresses', 'Couteau suisse', 'Multi-tool', 'Clé de 15', 'Démonte-pneus', 'Pompe']",19.950000000000003,4.000000000000001,0.007999658584594727
5,"['Rustines', 'Fruits', 'Barre de céréales', 'Maillon rapide', 'Lampes', 'Téléphone mobile', 'Carte IGN', 'Crème solaire', 'Pantalon de pluie', 'Veste de pluie', 'Désinfectant', 'Compresses', 'Couteau suisse', 'Pince multiprise', 'Multi-tool', 'Clé de 15', 'Chambre à air', 'Démonte-pneus', 'Pompe']",22.0,5.000000000000001,0.007999658584594727
